분할경주여부,마명,마번,기수번호,조교사번호,부담구분,출전번호,대상경주명,경주일자,경주거리,경주등급,출전마구분,경주번호,야간경마여부,순위,확정배당율(단승식),편성두수,마필등급,경주기록,출주두수,경주로상태,날씨,마체중,모마명,출생일,성별,소유자명,생산국,부마명,소재지
0,파이널축제,45339,080342,70170.0,2,3,일반,20230107,1300,일반,Rookie2,1,일반,5,3.4,12,6,83.5,12.0,양호,흐림,490.0,월드퀵,2020-03-10(6세),수,럭키,한국,지롤라모,서울경마공원
0,아르고리치,45921,080366,70146.0,2,6,일반,20230107,1300,일반,Rookie2,1,일반,2,3.4,12,6,82.9,12.0,양호,흐림,496.0,어너러리갤럽,2020-04-08(6세),수,우태율,한국,컬러즈플라잉,서울경마공원
0,파워에치드,45734,080339,70166.0,2,11,일반,20230107,1300,일반,Rookie2,1,일반,8,3.4,12,6,84.0,12.0,양호,흐림,483.0,베트파티,2020-03-18(6세),거,박정재,한국,에치드,서울경마공원
0,베스트선,45369,080405,70115.0,3,1,일반,20230107,1300,일반,일반,7,일반,3,4.7,12,5,82.8,12.0,양호,흐림,479.0,아이월이프유월,2020-02-28(6세),거,베스트샤인조합,한국,테이크차지인디,서울경마공원
0,슈어윈,45240,080103,70096.0,3,7,일반,20230107,1300,일반,일반,7,일반,1,4.7,12,5,81.6,12.0,양호,흐림,413.0,매그니피센트마인,2020-02-13(6세),암,지성배,한국,BERNARDINI,서울경마공원
0,울트라삭스,45476,080438,70174.0,3,1,일반,20230107,1200,일반,일반,8,일반,11,3.7,12,5,77.2,12.0,양호,흐림,451.0,그레이스필,2020-03-04(6세),암,김창식,한국,올드패션드,서울경마공원
0,챌린지삭스,40914,080530,70181.0,3,8,일반,20230107,1400,일반,일반,10,일반,7,15.5,12,4,89.8,12.0,양호,흐림,444.0,캐쥬얼애티튜드,2017-04-17(9세),암,김창식,한국,올드패션드,서울경마공원
0,엠제이베스트,42046,080339,70225.0,3,2,일반,20230107,1400,일반,일반,11,일반,11,22.9,12,3,92.7,11.0,양호,흐림,482.0,주얼리파티,2018-05-19(8세),수,박정재,한국,카우보이칼,서울경마공원
0,최강현마,46104,080366,70182.0,2,1,일반,20230108,1200,일반,Rookie2,1,일반,3,5.0,12,6,77.2,12.0,양호,흐림,483.0,투리브포,2020-03-02(6세),거,(주)디알엠씨티,한국,올드패션드,서울경마공원
0,그래티튜드,46161,080100,70167.0,2,7,일반,20230108,1200,일반,Rookie2,1,일반,11,5.0,12,6,80.4,12.0,양호,흐림,446.0,캐칭업,2020-04-30(6세),암,(주)일진코스메틱,한국,파워블레이드,서울경마공원
0,원더풀티지,45829,080608,70117.0,2,7,일반,20230108,1300,일반,Rookie2,2,일반,5,9.8,12,6,85.1,10.0,양호,흐림,498.0,홀리데이스타렛,2020-04-28(6세),거,지대섭,한국,티즈웨이,렛츠런팜장수
0,달맞이,46127,080473,70103.0,2,2,일반,20230108,1200,일반,일반,4,일반,11,18.3,12,6,80.2,12.0,양호,흐림,435.0,캐리비안레인,2020-04-20(6세),수,박태준,한국,디바인파크,서울경마공원
