분할경주여부,마명,마번,기수번호,조교사번호,부담구분,출전번호,경주일자,경주거리,경주등급,출전마구분,경주번호,야간경마여부,순위,마필등급,경주기록,출주두수,경주로상태,날씨,마체중,출생일,성별,소유자명,생산국,부마명,소재지,순위점수
0,파이널축제,45339,080342,70170.0,2,3,2023-01-07,1300,일반,Rookie2,1,일반,5,6.0,83.5,12.0,양호,흐림,490.0,2020-03-10,수,럭키,한국,지롤라모,서울경마공원,0.6363636363636364
0,아르고리치,45921,080366,70146.0,2,6,2023-01-07,1300,일반,Rookie2,1,일반,2,6.0,82.9,12.0,양호,흐림,496.0,2020-04-08,수,우태율,한국,컬러즈플라잉,서울경마공원,0.9090909090909091
0,파워에치드,45734,080339,70166.0,2,11,2023-01-07,1300,일반,Rookie2,1,일반,8,6.0,84.0,12.0,양호,흐림,483.0,2020-03-18,거,박정재,한국,에치드,서울경마공원,0.36363636363636365
0,베스트선,45369,080405,70115.0,3,1,2023-01-07,1300,일반,일반,7,일반,3,5.0,82.8,12.0,양호,흐림,479.0,2020-02-28,거,베스트샤인조합,한국,테이크차지인디,서울경마공원,0.8181818181818181
0,슈어윈,45240,080103,70096.0,3,7,2023-01-07,1300,일반,일반,7,일반,1,5.0,81.6,12.0,양호,흐림,413.0,2020-02-13,암,지성배,한국,BERNARDINI,서울경마공원,1.0
0,울트라삭스,45476,080438,70174.0,3,1,2023-01-07,1200,일반,일반,8,일반,11,5.0,77.2,12.0,양호,흐림,451.0,2020-03-04,암,김창식,한국,올드패션드,서울경마공원,0.09090909090909094
0,챌린지삭스,40914,080530,70181.0,3,8,2023-01-07,1400,일반,일반,10,일반,7,4.0,89.8,12.0,양호,흐림,444.0,2017-04-17,암,김창식,한국,올드패션드,서울경마공원,0.4545454545454546
0,엠제이베스트,42046,080339,70225.0,3,2,2023-01-07,1400,일반,일반,11,일반,11,3.0,92.7,11.0,양호,흐림,482.0,2018-05-19,수,박정재,한국,카우보이칼,서울경마공원,0.0
0,최강현마,46104,080366,70182.0,2,1,2023-01-08,1200,일반,Rookie2,1,일반,3,6.0,77.2,12.0,양호,흐림,483.0,2020-03-02,거,(주)디알엠씨티,한국,올드패션드,서울경마공원,0.8181818181818181
0,그래티튜드,46161,080100,70167.0,2,7,2023-01-08,1200,일반,Rookie2,1,일반,11,6.0,80.4,12.0,양호,흐림,446.0,2020-04-30,암,(주)일진코스메틱,한국,파워블레이드,서울경마공원,0.09090909090909094
0,원더풀티지,45829,080608,70117.0,2,7,2023-01-08,1300,일반,Rookie2,2,일반,5,6.0,85.1,10.0,양호,흐림,498.0,2020-04-28,거,지대섭,한국,티즈웨이,렛츠런팜장수,0.5555555555555556
0,달맞이,46127,080473,70103.0,2,2,2023-01-08,1200,일반,일반,4,일반,11,6.0,80.2,12.0,양호,흐림,435.0,2020-04-20,수,박태준,한국,디바인파크,서울경마공원,0.09090909090909094
0,굿카보,45852,080576,70117.0,3,10,2023-01-08,1300,일반,경주퇴역자마,6,일반,10,5.0,85.0,12.0,양호,맑음,504.0,2020-03-30,거,김지훈,한국,카우보이칼,서울경마공원,0.18181818181818177
0,슈퍼엑톤,40921,080342,70175.0,2,2,2023-01-08,1700,일반,일반,8,일반,4,4.0,113.6,12.0,양호,맑음,459.0,2017-03-27,거,(주)메타플렉스,한국,엑톤파크,서울경마공원,0.7272727272727273
0,최고블랙,44317,080366,70174.0,2,12,2023-01-08,1700,일반,일반,8,일반,1,4.0,112.3,12.0,양호,맑음,450.0,2019-04-28,수,이강운,한국,테스타마타,서울경마공원,1.0
0,글로벌보배,43713,080529,70085.0,3,3,2023-01-08,1200,일반,일반,11,일반,2,4.0,74.9,12.0,양호,맑음,437.0,2019-03-13,수,장재형,한국,카우보이칼,서울경마공원,0.9090909090909091
0,리걸하이,45841,080587,70165.0,2,5,2023-01-14,1300,일반,Rookie2,2,일반,2,6.0,80.7,12.0,포화,비,459.0,2020-03-29,암,강균호,한국,지롤라모,서울경마공원,0.9090909090909091
0,사바나찰리,45232,080405,70175.0,2,12,2023-01-14,1300,일반,Rookie2,2,일반,7,6.0,82.8,12.0,포화,비,492.0,2020-01-27,거,배은정,한국,ADIOS CHARLIE,서울경마공원,0.4545454545454546
0,매글데이,45998,080417,70103.0,2,6,2023-01-14,1300,일반,일반,3,일반,2,6.0,80.9,12.0,포화,비,443.0,2020-04-24,거,하늬바람,한국,애니기븐새터데이,서울경마공원,0.9090909090909091
0,금빛천하,45371,080603,70161.0,2,11,2023-01-14,1300,일반,일반,3,일반,3,6.0,80.9,12.0,포화,비,456.0,2020-03-24,수,퍼플라인,한국,퍼지,서울경마공원,0.8181818181818181
0,불곰마드레,46158,080417,70182.0,3,10,2023-01-14,1200,일반,경매마,5,일반,1,5.0,72.8,12.0,불량,비,486.0,2020-04-22,암,이호열,한국,카우보이칼,렛츠런팜장수,1.0
0,화랑투데이,44703,080476,70182.0,3,2,2023-01-14,1400,일반,일반,7,일반,2,5.0,85.6,11.0,불량,흐림,531.0,2019-05-17,수,박웅진,한국,카우보이칼,마태우리S승마센터,0.9
0,대사리,44821,080579,70244.0,2,10,2023-01-14,1800,일반,일반,9,일반,5,4.0,116.8,12.0,불량,흐림,489.0,2019-04-13,거,노만영,한국,아치아치아치,태극호스파크,0.6363636363636364
0,와일드삭스,44287,080438,70181.0,3,2,2023-01-14,1400,일반,일반,12,일반,8,3.0,86.3,12.0,불량,흐림,457.0,2019-04-01,수,김창식,한국,한센,서울경마공원,0.36363636363636365
0,그로우,45359,080417,70170.0,2,10,2023-01-15,1300,일반,Rookie2,1,일반,5,6.0,81.4,12.0,불량,눈,478.0,2020-03-26,암,배석두,한국,선더모카신,(주)궁평캠프,0.6363636363636364
0,검이불루,45589,080513,70096.0,2,2,2023-01-15,1200,일반,Rookie2,2,일반,1,6.0,74.1,11.0,불량,흐림,457.0,2020-03-10,암,김우식,한국,커널존,서울경마공원,1.0
0,아치로켓,45406,080579,70146.0,2,1,2023-01-15,1200,일반,일반,3,일반,8,6.0,76.8,12.0,불량,흐림,494.0,2020-03-31,암,송암축산,한국,아치아치아치,송암축산,0.36363636363636365
0,에펠탑,45498,080438,70166.0,2,8,2023-01-15,1400,일반,일반,4,일반,5,6.0,88.4,12.0,불량,흐림,494.0,2020-03-06,거,오종환,한국,티즈원더풀,서울경마공원,0.6363636363636364
0,금빛마,46188,080476,70181.0,3,4,2023-01-15,1400,일반,육성심사합격마,5,일반,2,5.0,86.3,11.0,불량,흐림,479.0,2020-04-09,수,(주)디알엠씨티,한국,카우보이칼,서울경마공원,0.9
0,지모션,45183,080576,70244.0,3,7,2023-01-15,1400,일반,육성심사합격마,5,일반,3,5.0,86.5,11.0,불량,흐림,451.0,2020-01-12,거,이기선,한국,SUMMER FRONT,송암축산,0.8
0,원평타운,45302,080476,70148.0,3,5,2023-01-15,1300,일반,일반,7,일반,6,5.0,81.2,12.0,불량,흐림,492.0,2020-02-23,수,김용재,한국,MO TOWN,서울경마공원,0.5454545454545454
0,빅스고,44092,080103,70149.0,3,1,2023-01-15,1400,일반,일반,11,일반,5,2.0,84.8,12.0,불량,비,495.0,2019-04-13,수,이선호,한국,빅스,서울경마공원,0.6363636363636364
0,승부사,43659,080122,70148.0,3,4,2023-01-15,1400,일반,일반,11,일반,9,2.0,85.8,12.0,불량,비,502.0,2019-01-03,수,박재범,한국,미스치비어슬리,서울경마공원,0.2727272727272727
0,파이널질주,45610,080337,70094.0,2,11,2023-01-28,1200,일반,Rookie2,1,일반,3,6.0,77.9,12.0,다습,맑음,479.0,2020-03-08,암,럭키,한국,에치드,청림목장,0.8181818181818181
0,미스윈스타,45894,080473,70110.0,2,7,2023-01-28,1300,일반,일반,3,일반,2,6.0,83.1,12.0,다습,맑음,533.0,2020-03-29,수,송창오,한국,선더모카신,서울경마공원,0.9090909090909091
0,아치메모리,44846,080361,70166.0,2,10,2023-01-28,1300,일반,일반,3,일반,3,6.0,83.2,12.0,다습,맑음,461.0,2019-05-15,암,권광세,한국,아치아치아치,서울경마공원,0.8181818181818181
0,쌍옥루,44516,080473,70152.0,2,12,2023-01-28,1700,일반,일반,4,일반,8,6.0,116.5,12.0,다습,맑음,495.0,2019-04-05,거,이용식,한국,선더모카신,서울경마공원,0.36363636363636365
0,올포유어드림,44497,080552,70161.0,3,2,2023-01-28,1400,일반,일반,6,일반,5,5.0,89.9,12.0,다습,맑음,486.0,2019-03-21,수,서창식,한국,맘보트레인,서울경마공원,0.6363636363636364
0,퍼펙트건맨,45533,080562,70200.0,3,7,2023-01-28,1400,일반,일반,6,일반,11,5.0,90.3,12.0,다습,맑음,493.0,2020-03-19,거,박재범,한국,올드패션드,서울경마공원,0.09090909090909094
0,세인트루카,43845,080562,70103.0,3,10,2023-01-28,1300,일반,일반,7,일반,4,5.0,82.9,11.0,다습,맑음,471.0,2019-03-20,수,유수현,한국,위드디스팅션,궁평목장,0.7
0,아침동자,46007,080587,70165.0,3,6,2023-01-28,1200,일반,육성심사합격마,8,일반,6,5.0,77.1,12.0,다습,맑음,469.0,2020-02-20,수,배영한,한국,한센,렛츠런팜장수,0.5454545454545454
0,마이티룩,52001,080456,70160.0,3,1,2023-01-28,1200,일반,일반,9,일반,1,4.0,76.0,12.0,다습,맑음,444.0,2020-01-28,암,조제형,미국,ARMY MULE,서울경마공원,1.0
0,아마존킹,43864,080608,70265.0,3,5,2023-01-28,1400,일반,일반,11,일반,7,4.0,89.0,12.0,다습,맑음,437.0,2019-04-06,거,허훈,한국,선더모카신,서울경마공원,0.4545454545454546
0,서울탱크,38052,080550,70114.0,2,8,2023-01-28,2000,일반,일반,12,일반,6,1.0,132.2,12.0,다습,맑음,455.0,2014-02-15,거,조병해,미국,GIANT OAK,서울경마공원,0.5454545454545454
0,블랙머스크,45453,080584,70170.0,2,9,2023-01-28,2000,일반,일반,12,일반,1,1.0,130.4,12.0,다습,맑음,508.0,2018-03-19,수,김한수,미국,FLAT OUT,서울경마공원,1.0
0,카리즈마,46118,080533,70197.0,2,2,2023-01-29,1300,일반,Rookie2,1,일반,7,6.0,86.3,12.0,다습,맑음,443.0,2020-02-17,거,투애니포,한국,선더모카신,서울경마공원,0.4545454545454546
0,늘가을,46189,080550,70144.0,2,8,2023-01-29,1300,일반,Rookie2,1,일반,1,6.0,84.0,12.0,다습,맑음,474.0,2020-04-27,거,김다혜,한국,퍼지,스타드팜,1.0
0,탐라최강자,46461,080435,70115.0,2,5,2023-01-29,1200,일반,Rookie2,2,일반,6,6.0,78.8,12.0,다습,맑음,436.0,2020-04-21,거,퍼플라인,한국,인디밴드,제주브리더스파크,0.5454545454545454
0,탱글이,46333,080533,70177.0,2,8,2023-01-29,1200,일반,Rookie2,2,일반,12,6.0,83.0,12.0,다습,맑음,446.0,2020-05-19,수,차청일,한국,투아너앤드서브,서울경마공원,0.0
0,컴플리트리더,45555,080486,70175.0,2,9,2023-01-29,1200,일반,Rookie2,2,일반,2,6.0,77.4,12.0,다습,맑음,472.0,2020-03-23,거,장석영,한국,테스타마타,서울경마공원,0.9090909090909091
0,점순이고,45626,080562,70149.0,3,5,2023-01-29,1300,일반,일반,4,일반,4,5.0,82.8,11.0,다습,맑음,467.0,2020-03-17,암,럭키,한국,페더럴리스트,청림목장,0.7
0,토호스카이,45283,080417,70170.0,2,1,2023-01-29,1600,일반,일반,6,일반,7,4.0,105.7,10.0,다습,맑음,509.0,2020-03-06,수,최임규,한국,투아너앤드서브,서울경마공원,0.33333333333333337
0,너트플레이,45177,080576,70098.0,2,8,2023-01-29,1600,일반,일반,6,일반,1,4.0,103.9,10.0,다습,맑음,497.0,2020-01-19,수,조현영,한국,컬러즈플라잉,태극호스파크,1.0
0,스틸플레이,46614,080476,70177.0,3,10,2023-01-29,1200,일반,일반,7,일반,1,5.0,75.7,12.0,다습,맑음,480.0,2020-03-25,수,조현영,한국,테스타마타,태극호스파크,1.0
0,글로벌파워,45635,080529,70085.0,3,11,2023-01-29,1200,일반,일반,7,일반,2,5.0,76.3,12.0,다습,맑음,434.0,2020-03-29,수,장재형,한국,카우보이칼,서울경마공원,0.9090909090909091
0,와우와우,45162,080513,70179.0,2,11,2023-01-29,1200,대상,일반,8,일반,1,1.0,73.7,12.0,다습,맑음,483.0,2019-02-10,수,(주)나스카,한국,카우보이칼,흙마축산,1.0
0,대한질주,42821,080339,70177.0,2,12,2023-01-29,1200,대상,일반,8,일반,6,6.0,74.3,12.0,다습,맑음,504.0,2018-04-28,수,박재범,한국,CONGRATS,서울경마공원,0.5454545454545454
0,홀리데이참,42869,080608,70110.0,2,6,2023-01-29,1800,일반,일반,9,일반,2,4.0,120.2,12.0,다습,맑음,474.0,2018-03-27,거,투애니포,한국,애니기븐새터데이,서울경마공원,0.9090909090909091
0,한강보스,44473,080103,70094.0,2,9,2023-01-29,1800,일반,일반,9,일반,4,4.0,120.4,12.0,다습,맑음,483.0,2019-04-15,거,김학록,한국,카우보이칼,서울경마공원,0.7272727272727273
0,노던타임,46505,080103,70165.0,3,2,2023-01-29,1800,일반,일반,10,일반,6,2.0,119.2,11.0,다습,맑음,513.0,2018-03-15,거,최상일,미국,NOT THIS TIME,서울경마공원,0.5
0,글로벌삭스,43495,080608,70174.0,3,12,2023-01-29,1800,일반,일반,10,일반,3,2.0,118.8,11.0,다습,맑음,461.0,2017-03-30,거,김창식,미국,MUNNINGS,흙마축산,0.8
0,은빛돌풍,46387,080562,70199.0,2,7,2023-02-04,1200,일반,Rookie2,1,일반,4,6.0,76.7,11.0,양호,맑음,503.0,2020-04-20,암,김욱수,한국,한센,서울경마공원,0.7
0,비전파워,45934,080550,70177.0,2,9,2023-02-04,1200,일반,Rookie2,1,일반,6,6.0,77.4,11.0,양호,맑음,444.0,2020-05-09,수,손병현,한국,NOBLE BIRD,서울경마공원,0.5
0,찬란한불꽃,46598,080533,70198.0,2,8,2023-02-04,1200,일반,Rookie2,2,일반,6,6.0,77.6,11.0,양호,맑음,431.0,2020-05-03,암,진교원,한국,한센,서울경마공원,0.5
0,스마트삭스,46221,080405,70167.0,2,4,2023-02-04,1300,일반,Rookie2,3,일반,9,6.0,85.2,10.0,양호,맑음,452.0,2020-04-27,암,김창식,한국,카우보이칼,렛츠런팜장수,0.11111111111111116
0,대흥클래스,46016,080122,70085.0,2,7,2023-02-04,1300,일반,Rookie2,3,일반,5,6.0,84.4,10.0,양호,맑음,454.0,2020-03-26,수,임한용,한국,콩코드포인트,서울경마공원,0.5555555555555556
0,슈퍼피니시,45783,080513,70170.0,3,3,2023-02-04,1200,일반,일반,5,일반,1,5.0,75.6,11.0,양호,맑음,474.0,2020-04-14,수,강현철,한국,페더럴리스트,(주)궁평캠프,1.0
0,카우보이탱고,42292,080337,70085.0,3,4,2023-02-04,1200,일반,일반,5,일반,3,5.0,76.7,11.0,양호,맑음,500.0,2018-02-15,거,임동현,한국,카우보이칼,서울경마공원,0.8
0,신의반전,45808,080593,70175.0,3,4,2023-02-04,1400,일반,일반,6,일반,9,5.0,91.6,11.0,양호,맑음,462.0,2020-03-26,암,김진태a,한국,테스타마타,서울경마공원,0.19999999999999996
0,섬싱로스트,46388,080486,70145.0,3,4,2023-02-04,1400,일반,일반,7,일반,1,4.0,88.2,11.0,양호,맑음,471.0,2020-04-20,수,정춘복,한국,한센,서울경마공원,1.0
0,원평코드,44526,080576,70148.0,2,7,2023-02-04,1800,일반,일반,10,일반,3,3.0,120.2,12.0,양호,맑음,513.0,2019-04-29,거,김용재,한국,메니피,서울경마공원,0.8181818181818181
0,최고블랙,44317,080562,70174.0,2,9,2023-02-04,1800,일반,일반,10,일반,1,3.0,119.7,12.0,양호,맑음,451.0,2019-04-28,수,이강운,한국,테스타마타,서울경마공원,1.0
0,테마탄생,46012,080434,70182.0,2,5,2023-02-05,1200,일반,Rookie2,2,일반,5,6.0,78.9,10.0,양호,맑음,464.0,2020-03-06,거,김길리,한국,테이크차지인디,서울경마공원,0.5555555555555556
0,주몽천하,46261,080513,70175.0,2,6,2023-02-05,1200,일반,Rookie2,2,일반,2,6.0,77.5,10.0,양호,맑음,498.0,2020-02-15,거,씨유네트워크,한국,카우보이칼,서울경마공원,0.8888888888888888
0,아르고스마일,46042,080608,70200.0,2,8,2023-02-05,1200,일반,Rookie2,2,일반,1,6.0,76.2,10.0,양호,맑음,486.0,2020-03-31,수,우태율,한국,록하드텐,청림목장,1.0
0,원더풀티지,45829,080576,70117.0,2,8,2023-02-05,1400,일반,일반,4,일반,3,6.0,91.6,12.0,양호,맑음,498.0,2020-04-28,거,지대섭,한국,티즈웨이,렛츠런팜장수,0.8181818181818181
0,베스트선,45369,080513,70115.0,3,6,2023-02-05,1300,일반,일반,5,일반,1,5.0,83.3,12.0,양호,맑음,461.0,2020-02-28,거,베스트샤인조합,한국,테이크차지인디,서울경마공원,1.0
0,라온포레스트,46086,080103,70095.0,3,8,2023-02-05,1200,일반,일반,7,일반,4,4.0,75.8,12.0,양호,맑음,475.0,2020-03-07,암,라온랜드(주),한국,한센,서울경마공원,0.7272727272727273
0,슈퍼엑톤,40921,080593,70175.0,2,6,2023-02-05,1700,일반,일반,9,일반,1,4.0,112.6,12.0,양호,맑음,458.0,2017-03-27,거,(주)메타플렉스,한국,엑톤파크,서울경마공원,1.0
0,골든아너,44881,080417,70182.0,2,7,2023-02-05,1700,일반,일반,9,일반,5,4.0,113.4,12.0,양호,맑음,470.0,2019-03-31,수,디디에스코리아(주),한국,투아너앤드서브,서울경마공원,0.6363636363636364
0,붉은폭풍,46204,080587,70165.0,2,1,2023-02-11,1200,일반,Rookie2,1,일반,9,6.0,79.3,12.0,건조,맑음,455.0,2020-04-30,수,홍상기,한국,한센,(주)궁평캠프,0.2727272727272727
0,아치로켓,45406,080579,70146.0,2,12,2023-02-11,1200,일반,Rookie2,1,일반,11,6.0,79.9,12.0,건조,맑음,493.0,2020-03-31,암,송암축산,한국,아치아치아치,송암축산,0.09090909090909094
0,사바나찰리,45232,080405,70175.0,2,1,2023-02-11,1300,일반,Rookie2,3,일반,4,6.0,83.7,9.0,건조,맑음,483.0,2020-01-27,거,배은정,한국,ADIOS CHARLIE,서울경마공원,0.625
0,파워에치드,45734,080339,70166.0,2,2,2023-02-11,1300,일반,Rookie2,3,일반,9,6.0,85.5,9.0,건조,맑음,477.0,2020-03-18,거,박정재,한국,에치드,서울경마공원,0.0
0,최강현마,46104,080417,70182.0,2,3,2023-02-11,1300,일반,Rookie2,3,일반,2,6.0,82.5,9.0,건조,맑음,480.0,2020-03-02,거,(주)디알엠씨티,한국,올드패션드,서울경마공원,0.875
0,금빛천하,45371,080603,70161.0,2,9,2023-02-11,1300,일반,Rookie2,3,일반,3,6.0,83.7,9.0,건조,맑음,462.0,2020-03-24,수,퍼플라인,한국,퍼지,서울경마공원,0.75
0,매글데이,45998,080417,70103.0,2,4,2023-02-11,1300,일반,일반,4,일반,1,6.0,83.2,12.0,건조,맑음,446.0,2020-04-24,거,하늬바람,한국,애니기븐새터데이,서울경마공원,1.0
0,에펠탑,45498,080366,70166.0,2,6,2023-02-11,1300,일반,일반,4,일반,3,6.0,83.7,12.0,건조,맑음,489.0,2020-03-06,거,오종환,한국,티즈원더풀,서울경마공원,0.8181818181818181
0,원평타운,45302,080476,70148.0,3,7,2023-02-11,1300,일반,일반,5,일반,3,5.0,82.4,10.0,건조,맑음,501.0,2020-02-23,수,김용재,한국,MO TOWN,서울경마공원,0.7777777777777778
0,마의웨이,45768,080417,70115.0,3,1,2023-02-11,1200,일반,경주퇴역자마,6,일반,3,5.0,75.5,12.0,건조,맑음,470.0,2020-03-09,거,퍼플라인,한국,투아너앤드서브,서울경마공원,0.8181818181818181
0,나올스나이퍼,46099,080366,70197.0,3,3,2023-02-11,1800,일반,일반,10,일반,1,4.0,118.3,12.0,건조,맑음,503.0,2020-03-24,수,이경호a,한국,투아너앤드서브,렛츠런팜장수,1.0
0,화랑투데이,44703,080476,70182.0,3,6,2023-02-11,1800,일반,일반,10,일반,4,4.0,120.3,12.0,건조,맑음,526.0,2019-05-17,수,박웅진,한국,카우보이칼,마태우리S승마센터,0.7272727272727273
0,챌린지삭스,40914,080598,70181.0,3,8,2023-02-11,1400,일반,일반,12,일반,5,4.0,89.5,10.0,건조,맑음,435.0,2017-04-17,암,김창식,한국,올드패션드,서울경마공원,0.5555555555555556
0,아만바로우즈,45828,080103,70165.0,2,12,2023-02-12,1200,일반,Rookie2,2,일반,4,6.0,77.3,12.0,건조,맑음,443.0,2020-04-17,암,이노쿠마 히로츠구,한국,테스타마타,서울경마공원,0.7272727272727273
0,달맞이,46127,080598,70103.0,2,6,2023-02-12,1200,일반,일반,3,일반,6,6.0,77.8,12.0,건조,맑음,441.0,2020-04-20,수,박태준,한국,디바인파크,서울경마공원,0.5454545454545454
0,송암드래건,44405,080609,70103.0,2,8,2023-02-12,1200,일반,일반,3,일반,5,6.0,77.8,12.0,건조,맑음,455.0,2019-06-08,암,송암축산,한국,티즈웨이,송암축산,0.6363636363636364
0,지모션,45183,080582,70244.0,3,10,2023-02-12,1400,일반,일반,5,일반,5,5.0,90.0,11.0,건조,맑음,450.0,2020-01-12,거,이기선,한국,SUMMER FRONT,송암축산,0.6
