birthday,chaksunT,faHrName,faHrNo,hrLastAmt,hrName,hrNo,meet,moHrName,moHrNo,name,ord1CntT,ord1CntY,ord2CntT,ord2CntY,ord3CntT,ord3CntY,owName,owNo,rank,rating,rcCntT,rcCntY,sex,trName,trNo
20240324,0,CARACARO,6149511,"56,979천원(개별)",가라카이,0058062,서울,ALGOWILD,6128634,미국,0,0,0,0,0,0,에스지이건설,121013,외미검,0,0,0,수,휴양마,0AAAAA
20220426,37050000,온이글즈윙즈,0036593,자가생산,가야스타,0051451,서울,가야공주,0019808,한국,1,1,1,1,2,2,김근영,106272,국5,0,14,9,거,휴양마,0AAAAA
20240323,0,한센,0032990,"40,000천원(개별)",가온의빛,0055947,서울,지상제일해피,0034627,한국,0,0,0,0,0,0,이경헌,124041,국미검,0,0,0,암,최봉주,070152
20220224,0,TWIRLING CANDY,6967942,"55,000천원(개별)",가온히어로,0055530,서울,UNBRIDLED CLASS,6151019,미국,0,0,0,0,0,0,김기종,106296,외4,0,2,2,수,강성오,070174
20210319,105450000,파워블레이드,0033566,100천원(개별),간다고,1412316,서울,하늘기상,0020802,한국,3,1,2,1,1,0,퍼플라인,121053,국4,0,20,11,암,전승규,070182
20230413,77400000,INDEPENDENCE HALL,7000178,"84,051천원(개별)",감사의힘,0060346,서울,UNBRIDLEDEXPLOSION,6149777,미국,1,1,2,2,1,1,우태율,111006,외3,0,7,7,수,휴양마,0AAAAA
20230430,9900000,나이트러스,7000060,자가생산,갓스피드,0053948,서울,아르카디아,0038551,한국,0,0,1,1,0,0,송용만,106170,국6,0,5,5,암,심승태,070166
20220128,226050000,레볼루셔너리,0044420,"15,000천원(개별)",강나루,0051286,서울,금순이엄지,0029797,한국,4,1,5,4,3,1,배태곤,105231,국2,0,16,9,수,박병일,070163
20210202,296200000,페더럴리스트,0034735,"30,000천원(개별)",강남불청객,0046672,서울,새즈미즈엘리자베,0040130,한국,5,0,3,1,2,2,(주)나스카,110034,국2,0,18,7,수,휴양마,0AAAAA
20230906,0,GLENFIDDICH,7113276,"35,706천원(개별)",강수,0061136,서울,LICENCED TO WIN,7169798,호주,0,0,0,0,0,0,이미양,106223,외미검,0,0,0,암,박윤규,070117
20200318,88950000,퍼지,0039750,50천원(개별),강철전사,0045700,서울,소우전러브,0040234,한국,2,1,1,0,3,3,허도행,104127,국4,0,24,12,수,김동균,070170
20210308,47850000,라이언메탈,0034637,"35,000천원(개별)",강철파워,0050261,서울,선플라자,0035142,한국,1,1,2,2,0,0,허건호,010205,국5,0,25,13,수,심승태,070166
20200314,1159700000,피스룰즈,0025790,"30,000천원(개별)",강풍마,0045769,서울,원더드리머,0029921,한국,10,4,6,3,4,1,박남성,010496,국1,0,27,9,수,최봉주,070152
20230424,22200000,레이스데이,0046317,"25,000천원(경매)",강한감마,0053449,서울,퍼스널리유어즈,0041953,한국,0,0,1,1,2,2,강수덕,113028,국5,0,4,4,암,홍대유,070145
20230312,0,미스치비어슬리,0038245,"20,000천원(경매)",강한프린세스,0053410,서울,퀸오피서,0037515,한국,0,0,0,0,0,0,강수덕,113028,국6,0,5,5,암,홍대유,070145
20230425,0,다이나믹대시,0032994,수증,거대한빛,0053923,서울,빅투더빅,0043607,한국,0,0,0,0,0,0,이경헌,124041,국6,0,3,3,암,최봉주,070152
20220402,162600000,WORLD OF TROUBLE,6115982,"65,000천원(경매)",거센강호,0051386,서울,케이케이스벅아이,0050647,한국,3,1,3,1,3,2,강석대,105211,국3,0,15,9,수,이관호,070181
20230220,88500000,카우보이칼,0038391,수증,거센대로,0053010,서울,거센질주,0040300,한국,2,2,2,2,1,1,강석대,105211,국4,0,8,8,수,이신우,070167
20230416,25050000,투아너앤드서브,0041566,"43,000천원(개별)",거센돌격,0053877,서울,매글레브,0040201,한국,1,1,0,0,1,1,강석대,105211,국5,0,5,5,거,이신우,070167
20240203,0,콩코드포인트,0038387,"15,000천원(개별)",거센돌파,0055201,서울,거센질주,0040300,한국,0,0,0,0,0,0,강석대,105211,국미검,0,0,0,수,이신우,070167
20230128,4500000,KNOWN AGENDA,6149768,"35,000천원(개별)",거센무적,0053015,서울,노블주얼,0052767,한국,0,0,0,0,0,0,강석대,105211,국6,0,7,7,수,이관호,070181
20210122,358750000,투아너앤드서브,0041566,"25,000천원(개별)",거센반격,1412290,서울,랩소디,0030842,한국,6,1,5,0,0,0,강석대,105211,국1,0,23,7,거,이관호,070181
20240216,0,레이스데이,0046317,"25,000천원(개별)",거센번개,0055521,서울,크래프티블루카트,0041952,한국,0,0,0,0,0,0,강석대,105211,국미검,0,0,0,수,이신우,070167
20220505,38400000,INSTAGRAND,6149543,"26,311천원(개별)",거센빅맨,0054782,서울,AVIE'S TALE,6785093,미국,0,0,2,2,1,1,강석대,105211,외4,0,12,9,수,휴양마,0AAAAA
20240227,0,머스킷맨,0036732,"80,000천원(개별)",거센영웅,0055495,서울,메니어게인,0044101,한국,0,0,0,0,0,0,강석대,105211,국미검,0,0,0,수,이신우,070167
20230322,16500000,섀클포드,0045050,"38,000천원(개별)",거센펀치,0053196,서울,특별스타,0036113,한국,1,1,0,0,0,0,강석대,105211,국5,0,7,7,거,이관호,070181
20220405,123900000,섀클포드,0045050,"35,000천원(개별)",거센폭주,0051947,서울,테이터톤터,0036667,한국,3,1,2,2,1,1,강석대,105211,국4,0,15,10,수,이신우,070167
20230411,0,투아너앤드서브,0041566,"30,000천원(개별)",거센함성,0053817,서울,콰이어트터치,0027476,한국,0,0,0,0,0,0,강석대,105211,국6,0,0,0,수,이신우,070167
20240320,0,레이스데이,0046317,"27,000천원(경매)",걸작루비,0055472,서울,퀴리아,0044971,한국,0,0,0,0,0,0,박덕희,105249,국미검,0,0,0,암,정하백,070293
20240320,0,미스치비어슬리,0038245,"31,000천원(경매)",걸작마루,0055821,서울,문학퀸,0043483,한국,0,0,0,0,0,0,박덕희,105249,국미검,0,0,0,수,정하백,070293
20240324,0,트리플나인,0032258,"27,000천원(경매)",걸작번개,0055491,서울,매드파워,0033987,한국,0,0,0,0,0,0,박덕희,105249,국미검,0,0,0,수,정하백,070293
20220131,93050000,카우보이칼,0038391,"23,000천원(경매)",걸작시대,0050858,서울,럭키하트,0032113,한국,1,0,2,0,0,0,박덕희,105249,국5,0,13,6,암,박윤규,070117
20240122,0,올드패션드,0037972,"29,000천원(경매)",걸작윤슬,0055193,서울,발즈프린세스,0052747,한국,0,0,0,0,0,0,박덕희,105249,국미검,0,0,0,암,정하백,070293
20230507,0,컬러즈플라잉,0027443,"20,000천원(개별)",걸작크라운,0053691,서울,리드머니,0036247,한국,0,0,0,0,0,0,박덕희,105249,국6,0,2,2,거,정하백,070293
20230126,34500000,레이스데이,0046317,"30,000천원(경매)",걸작티아라,0052818,서울,라이드미투더문,0029416,한국,1,1,1,1,1,1,박덕희,105249,국5,0,6,6,암,박윤규,070117
20230427,27825000,섀클포드,0045050,"39,000천원(경매)",검은숲,0054176,서울,반지의여전사,0034213,한국,0,0,2,2,1,1,박치문,020013,국5,0,8,8,수,강성오,070174
20200310,167450000,커널존,0038332,"29,500천원(개별)",검이불루,0045589,서울,블레이징스타,0036468,한국,3,0,4,1,3,1,김우식,010115,국4,0,29,10,암,강환민,070175
