chaksun,diffTot,divide,hrName,hrno,jkName,jkNo,meet,noracefl,prow,prowName,prtr,prtrName,rankKind,rc10dusu,rcAge,rcBudam,rcChul,rcCode,rcDate,rcDiff2,rcDiff3,rcDiff4,rcDiff5,rcDist,rcFrflag,rcGrade,rcHrfor,rcHrnew,rcNo,rcNrace,rcOrd,rcP1Odd,rcP1Sale,rcP2Odd,rcP2Sale,rcP3Odd,rcP3Sale,rcP4Odd,rcP4Sale,rcP5Odd,rcP5Sale,rcP6Odd,rcP6Sale,rcP8Odd,rcP8Sale,rcPlansu,rcRank,rcSex,rcSpcbu,rcTime,rcVtdusu,rundayth,track,weath,wgHr,year
0,15.75,0,한강캡틴,0046893,박태종,080103,서울,정상,121008,나기두,070165,서인석,0,0,3세,2,1,일반,20240106,1.5,3.5,7.5,8.0,1200,국산,일반,국산마,루키,1,일반,8,2.8,14950000,2.0,30632800,5.3,416709600,9.5,110268300,4.8,60827900,13.3,412435800,41.2,187649900,12,06,오픈,1,78.3,12,1,포화,맑음,527,2024
0,26.5,0,비트오션,0047011,임기원,080487,서울,정상,123017,양진영,070167,이신우,0,0,3세,2,2,일반,20240106,1.5,3.5,7.5,8.0,1200,국산,일반,국산마,루키,1,일반,11,2.8,14950000,2.0,30632800,5.3,416709600,9.5,110268300,4.8,60827900,13.3,412435800,41.2,187649900,12,06,오픈,1,80.2,12,1,포화,맑음,439,2024
0,19.5,0,울트라망치,0047082,이현종,080548,서울,정상,113041,피닉스,070200,최용건,0,0,3세,2,3,일반,20240106,1.5,3.5,7.5,8.0,1200,국산,일반,국산마,루키,1,일반,10,2.8,14950000,2.0,30632800,5.3,416709600,9.5,110268300,4.8,60827900,13.3,412435800,41.2,187649900,12,06,오픈,1,79.0,12,1,포화,맑음,494,2024
1800000,8.0,0,핑크골드,0047178,이동하,080562,서울,정상,121047,이강운,070174,강성오,0,0,3세,2,4,일반,20240106,1.5,3.5,7.5,8.0,1200,국산,일반,국산마,루키,1,일반,5,2.8,14950000,2.0,30632800,5.3,416709600,9.5,110268300,4.8,60827900,13.3,412435800,41.2,187649900,12,06,오픈,1,77.0,12,1,포화,맑음,456,2024
0,17.5,0,히어로나라,0047282,김태희,080603,서울,정상,216306,임재형,070108,안해양,0,0,3세,2,5,일반,20240106,1.5,3.5,7.5,8.0,1200,국산,일반,국산마,루키,1,일반,9,2.8,14950000,2.0,30632800,5.3,416709600,9.5,110268300,4.8,60827900,13.3,412435800,41.2,187649900,12,06,오픈,1,78.7,12,1,포화,맑음,518,2024
2250000,7.5,0,엠케이리,1411893,문세영,080366,서울,정상,122025,강만구,070164,박재우,0,0,3세,2,6,일반,20240106,1.5,3.5,7.5,8.0,1200,국산,일반,국산마,루키,1,일반,4,2.8,14950000,2.0,30632800,5.3,416709600,9.5,110268300,4.8,60827900,13.3,412435800,41.2,187649900,12,06,오픈,1,76.9,12,1,포화,맑음,464,2024
0,9.75,0,레이디폭스,0047169,유승완,080417,서울,정상,010632,김봉섭,070170,김동균,0,0,3세,2,7,일반,20240106,1.5,3.5,7.5,8.0,1200,국산,일반,국산마,루키,1,일반,7,2.8,14950000,2.0,30632800,5.3,416709600,9.5,110268300,4.8,60827900,13.3,412435800,41.2,187649900,12,06,오픈,1,77.3,12,1,포화,맑음,457,2024
0,28.25,0,하이스트타임,0047213,다비드,080584,서울,정상,121005,박민지,070164,박재우,0,0,3세,2,8,일반,20240106,1.5,3.5,7.5,8.0,1200,국산,일반,국산마,루키,1,일반,12,2.8,14950000,2.0,30632800,5.3,416709600,9.5,110268300,4.8,60827900,13.3,412435800,41.2,187649900,12,06,오픈,1,80.5,12,1,포화,맑음,483,2024
24750000,0.0,0,서부특송,0053587,장추열,080476,서울,정상,121025,부준혁,070165,서인석,0,0,3세,2,9,일반,20240106,1.5,3.5,7.5,8.0,1200,국산,일반,국산마,루키,1,일반,1,2.8,14950000,2.0,30632800,5.3,416709600,9.5,110268300,4.8,60827900,13.3,412435800,41.2,187649900,12,06,오픈,1,75.6,12,1,포화,맑음,508,2024
9900000,1.5,0,최강타임,0047073,조상범,080533,서울,정상,121047,이강운,070244,리카디,0,0,3세,2,10,일반,20240106,1.5,3.5,7.5,8.0,1200,국산,일반,국산마,루키,1,일반,2,2.8,14950000,2.0,30632800,5.3,416709600,9.5,110268300,4.8,60827900,13.3,412435800,41.2,187649900,12,06,오픈,1,75.8,12,1,포화,맑음,505,2024
