chaksun,diffTot,divide,hrName,hrno,jkName,jkNo,meet,noracefl,prow,prowName,prtr,prtrName,rankKind,rc10dusu,rcAge,rcBudam,rcChul,rcCode,rcDate,rcDiff2,rcDiff3,rcDiff4,rcDiff5,rcDist,rcFrflag,rcGrade,rcHrfor,rcHrnew,rcNo,rcNrace,rcOrd,rcP1Odd,rcP1Sale,rcP2Odd,rcP2Sale,rcP3Odd,rcP3Sale,rcP4Odd,rcP4Sale,rcP5Odd,rcP5Sale,rcP6Odd,rcP6Sale,rcP8Odd,rcP8Sale,rcPlansu,rcRank,rcSex,rcSpcbu,rcTime,rcVtdusu,rundayth,track,weath,wgHr
24750000,0.0,0,마이티러브,0050800,김태희,080603,서울,정상,113005,조병태,070160,서홍수,0,0,3세,2,1,일반,20250104,1.5,1.625,3.125,5.125,1200,국산,일반,국산마,루키,1,일반,1,14.9,20429000,3.7,28017100,60.6,465675200,142.2,116641000,24.2,69304400,365.5,553677200,2619.4,263737500,12,06,오픈,1,76.3,12,1,건조,맑음,407
0,34.125,0,지나송,0051231,문정균,080337,서울,정상,010578,강용식,070148,정호익,0,0,3세,2,2,일반,20250104,1.5,1.625,3.125,5.125,1200,국산,일반,국산마,루키,1,일반,12,14.9,20429000,3.7,28017100,60.6,465675200,142.2,116641000,24.2,69304400,365.5,553677200,2619.4,263737500,12,06,오픈,1,82.3,12,1,건조,맑음,503
0,12.125,0,위버멘쉬,0051823,오수철,080608,서울,정상,105212,오종택,070200,최용건,0,0,3세,2,3,일반,20250104,1.5,1.625,3.125,5.125,1200,국산,일반,국산마,루키,1,일반,7,14.9,20429000,3.7,28017100,60.6,465675200,142.2,116641000,24.2,69304400,365.5,553677200,2619.4,263737500,12,06,오픈,1,78.3,12,1,건조,맑음,454
6300000,1.625,0,과천퀸,0052479,마이아,080616,서울,정상,124010,럭키,070170,김동균,0,0,3세,2,4,일반,20250104,1.5,1.625,3.125,5.125,1200,국산,일반,국산마,루키,1,일반,3,14.9,20429000,3.7,28017100,60.6,465675200,142.2,116641000,24.2,69304400,365.5,553677200,2619.4,263737500,12,06,오픈,1,76.6,12,1,건조,맑음,455
0,13.125,0,또순이서울,0051423,이동하,080562,서울,정상,215035,구리야마 타다시,070174,강성오,0,0,3세,2,5,일반,20250104,1.5,1.625,3.125,5.125,1200,국산,일반,국산마,루키,1,일반,8,14.9,20429000,3.7,28017100,60.6,465675200,142.2,116641000,24.2,69304400,365.5,553677200,2619.4,263737500,12,06,오픈,1,78.5,12,1,건조,맑음,456
9900000,1.5,0,살바도르,0051723,문세영,080366,서울,정상,104040,박재범,070225,문병기,0,0,3세,2,6,일반,20250104,1.5,1.625,3.125,5.125,1200,국산,일반,국산마,루키,1,일반,2,14.9,20429000,3.7,28017100,60.6,465675200,142.2,116641000,24.2,69304400,365.5,553677200,2619.4,263737500,12,06,오픈,1,76.6,12,1,건조,맑음,476
0,14.125,0,승리바로우즈,0051528,조재로,080550,서울,정상,214705,이노쿠마 히로츠구,070165,서인석,0,0,3세,2,7,일반,20250104,1.5,1.625,3.125,5.125,1200,국산,일반,국산마,루키,1,일반,9,14.9,20429000,3.7,28017100,60.6,465675200,142.2,116641000,24.2,69304400,365.5,553677200,2619.4,263737500,12,06,오픈,1,78.7,12,1,건조,맑음,487
2250000,3.125,0,삼정레이디,0052088,장추열,080476,서울,정상,113135,김호선,070175,강환민,0,0,3세,2,8,일반,20250104,1.5,1.625,3.125,5.125,1200,국산,일반,국산마,루키,1,일반,4,14.9,20429000,3.7,28017100,60.6,465675200,142.2,116641000,24.2,69304400,365.5,553677200,2619.4,263737500,12,06,오픈,1,76.9,12,1,건조,맑음,463
1800000,5.125,0,클레어빅뱅,0051295,이용호,080547,서울,정상,121005,박민지,070179,송문길,0,0,3세,2,9,일반,20250104,1.5,1.625,3.125,5.125,1200,국산,일반,국산마,루키,1,일반,5,14.9,20429000,3.7,28017100,60.6,465675200,142.2,116641000,24.2,69304400,365.5,553677200,2619.4,263737500,12,06,오픈,1,77.2,12,1,건조,맑음,441
0,15.125,0,예스엔젤,0050780,김효정,080578,서울,정상,065096,조창규,070164,박재우,0,0,3세,2,10,일반,20250104,1.5,1.625,3.125,5.125,1200,국산,일반,국산마,루키,1,일반,10,14.9,20429000,3.7,28017100,60.6,465675200,142.2,116641000,24.2,69304400,365.5,553677200,2619.4,263737500,12,06,오픈,1,78.9,12,1,건조,맑음,485
0,10.125,0,히어로초이스,0051833,김정준,080473,서울,정상,216306,임재형,070103,김윤섭,0,0,3세,2,11,일반,20250104,1.5,1.625,3.125,5.125,1200,국산,일반,국산마,루키,1,일반,6,14.9,20429000,3.7,28017100,60.6,465675200,142.2,116641000,24.2,69304400,365.5,553677200,2619.4,263737500,12,06,오픈,1,78.0,12,1,건조,맑음,503
0,26.125,0,브라운슈거,0052257,김용근,080405,서울,정상,121024,굿원,070174,강성오,0,0,3세,2,12,일반,20250104,1.5,1.625,3.125,5.125,1200,국산,일반,국산마,루키,1,일반,11,14.9,20429000,3.7,28017100,60.6,465675200,142.2,116641000,24.2,69304400,365.5,553677200,2619.4,263737500,12,06,오픈,1,80.9,12,1,건조,맑음,471
0,13.75,0,원평누리,0047323,이용호,080547,서울,정상,106198,김용재,070165,서인석,0,0,연령오픈,2,1,일반,20250104,3.0,4.0,5.5,6.0,1200,국산,일반,국산마,일반,2,일반,9,3.7,22638800,2.8,35691600,40.5,572746200,63.7,142725100,10.3,83251000,52.2,631562700,291.3,279535200,11,06,오픈,1,78.0,11,1,건조,맑음,462
0,7.5,0,불국시대,1412351,임다빈,080602,서울,정상,121053,퍼플라인,070247,이동국,0,0,연령오픈,2,2,일반,20250104,3.0,4.0,5.5,6.0,1200,국산,일반,국산마,일반,2,일반,7,3.7,22638800,2.8,35691600,40.5,572746200,63.7,142725100,10.3,83251000,52.2,631562700,291.3,279535200,11,06,오픈,1,76.9,11,1,건조,맑음,415
6600000,3.0,0,학산클리어,0050686,이동하,080562,서울,정상,119036,황봉기,070103,김윤섭,0,0,연령오픈,2,3,일반,20250104,3.0,4.0,5.5,6.0,1200,국산,일반,국산마,일반,2,일반,2,3.7,22638800,2.8,35691600,40.5,572746200,63.7,142725100,10.3,83251000,52.2,631562700,291.3,279535200,11,06,오픈,1,76.1,11,1,건조,맑음,470
0,16.25,0,스카이로열,0047166,김동수,080529,서울,정상,104127,허도행,070170,김동균,0,0,연령오픈,2,4,일반,20250104,3.0,4.0,5.5,6.0,1200,국산,일반,국산마,일반,2,일반,11,3.7,22638800,2.8,35691600,40.5,572746200,63.7,142725100,10.3,83251000,52.2,631562700,291.3,279535200,11,06,오픈,1,78.4,11,1,건조,맑음,460
0,7.0,0,캡틴뮤직,0046658,김옥성,080100,서울,정상,010801,박정재,070166,심승태,0,0,연령오픈,2,5,일반,20250104,3.0,4.0,5.5,6.0,1200,국산,일반,국산마,일반,2,일반,6,3.7,22638800,2.8,35691600,40.5,572746200,63.7,142725100,10.3,83251000,52.2,631562700,291.3,279535200,11,06,오픈,1,76.8,11,1,건조,맑음,488
0,14.25,0,레이디버드,1412317,이철경,080563,서울,정상,103007,박웅진,070117,박윤규,0,0,연령오픈,2,6,일반,20250104,3.0,4.0,5.5,6.0,1200,국산,일반,국산마,일반,2,일반,10,3.7,22638800,2.8,35691600,40.5,572746200,63.7,142725100,10.3,83251000,52.2,631562700,291.3,279535200,11,06,오픈,1,78.1,11,1,건조,맑음,482
4200000,4.0,0,글로벌서브,0051855,씨씨웡,080613,서울,정상,010611,장재형,070148,정호익,0,0,연령오픈,2,7,일반,20250104,3.0,4.0,5.5,6.0,1200,국산,일반,국산마,일반,2,일반,3,3.7,22638800,2.8,35691600,40.5,572746200,63.7,142725100,10.3,83251000,52.2,631562700,291.3,279535200,11,06,오픈,1,76.3,11,1,건조,맑음,489
