feature,importance
num__jockey_prev_weight_mean,1713
num__age_days,1680
num__마체중,1545
num__trainer_prev_weight_mean,1532
num__horse_prev_weight_mean,1376
num__마번,1363
num__jockey_prev_win_rate,1282
num__trainer_prev_win_rate,1275
num__trainer_prev_count,1268
num__horse_prev_score_mean,1258
num__trainer_prev_top3_rate,1244
num__jockey_prev_count,1240
num__jockey_prev_top3_rate,1235
num__jockey_prev_score_mean,1154
num__jockey_last_score,1104
num__trainer_prev_score_mean,1100
num__출전번호,1090
num__trainer_last_score,1079
num__trainer_prev_rank_mean,1068
num__jockey_prev_rank_mean,1054
num__trainer_prev_top3_count,1040
num__horse_last_score,1015
num__horse_prev_rank_mean,931
num__조교사번호,895
num__race_month,880
num__jockey_prev_top3_count,830
num__horse_prev_count,815
num__horse_prev_top3_rate,805
num__horse_prev_win_rate,744
num__trainer_prev_win_count,689
num__경주번호,652
num__jockey_prev_win_count,606
num__경주거리,437
num__jockey_last_rank,379
num__trainer_last_rank,372
num__horse_prev_top3_count,348
num__horse_last_rank,329
num__출주두수,318
num__age_years,298
num__마필등급,273
cat__성별_수,157
cat__경주로상태_건조,156
num__부담구분,151
num__race_weekday,146
num__horse_prev_win_count,130
cat__성별_암,123
num__race_year,110
cat__race_id_infrequent_sklearn,100
num__분할경주여부,97
cat__경주로상태_다습,81
cat__성별_거,79
cat__소재지_서울경마공원,69
cat__경주로상태_양호,57
cat__부마명_한센,57
cat__소유자명_(주)나스카,54
cat__마명_신의운명,53
cat__소유자명_송암축산,49
cat__날씨_흐림,49
cat__기수번호_80550,48
cat__소유자명_함승원,47
cat__기수번호_080486,46
cat__날씨_맑음,44
cat__경주등급_일반,44
cat__소유자명_박남성,43
cat__소유자명_이혜란,43
cat__부마명_지롤라모,41
cat__소재지_녹원목장,40
cat__소유자명_김기종,39
cat__소유자명_이상진,39
cat__기수번호_080616,39
cat__소유자명_(주)자성실업,38
cat__소유자명_이혜섭,38
cat__소유자명_infrequent_sklearn,36
cat__소유자명_박재범,35
cat__부마명_크리솔라이트,35
cat__부마명_섀클포드,35
cat__부마명_애니기븐새터데이,34
cat__기수번호_080614,34
cat__기수번호_080602,33
cat__소유자명_전성열,32
cat__소유자명_강현철,32
cat__부마명_레이스데이,32
cat__소유자명_홍애란,31
cat__부마명_선더모카신,31
cat__경주로상태_포화,30
cat__소유자명_피엔에스홈즈,29
cat__소유자명_배은정,29
cat__기수번호_080366,29
cat__기수번호_080621,29
cat__부마명_티즈웨이,29
cat__기수번호_080624,28
cat__소유자명_이진경,28
cat__소유자명_변창덕,28
cat__부마명_언캡처드,27
cat__부마명_뉴레전드,27
cat__소유자명_홍상기,27
cat__소유자명_퍼플라인,27
cat__부마명_레볼루셔너리,27
cat__부마명_사이먼퓨어,27
cat__마명_울트라삭스,27
cat__소유자명_허도행,27
cat__소유자명_박재용,26
cat__기수번호_080582,26
cat__소유자명_조제형,26
cat__소유자명_권경자,26
cat__야간경마여부_야간경마,26
cat__소유자명_(주)메타플렉스,25
cat__소유자명_죽마조합,24
cat__부마명_콩코드포인트,23
cat__출전마구분_일반,23
cat__부마명_MO TOWN,23
cat__소유자명_함평제일,23
cat__기수번호_080550,22
cat__마명_한강글로리,22
cat__기수번호_80613,21
cat__마명_글로벌보배,21
cat__소유자명_장석영,21
cat__부마명_머스킷맨,21
cat__부마명_TAPITURE,21
cat__소유자명_박준배,21
cat__소유자명_투애니포,20
cat__부마명_미스터크로우,20
cat__소유자명_청수,20
cat__마명_infrequent_sklearn,20
cat__소유자명_이월희,20
cat__부마명_위드디스팅션,19
cat__소유자명_이기선,19
cat__부마명_카우보이칼,18
cat__부마명_페더럴리스트,18
cat__부마명_WILL TAKE CHARGE,18
cat__부마명_모던카우보이,18
cat__생산국_호주,18
cat__부마명_에어포스블루,18
cat__기수번호_80513,18
cat__기수번호_080417,18
cat__기수번호_080578,18
cat__기수번호_080100,18
cat__기수번호_080576,17
cat__소유자명_이강운,17
