chaksun,diffTot,divide,hrName,hrno,jkName,jkNo,meet,noracefl,prow,prowName,prtr,prtrName,rankKind,rc10dusu,rcAge,rcBudam,rcChul,rcCode,rcDate,rcDiff2,rcDiff3,rcDiff4,rcDiff5,rcDist,rcFrflag,rcGrade,rcHrfor,rcHrnew,rcNo,rcNrace,rcOrd,rcP1Odd,rcP1Sale,rcP2Odd,rcP2Sale,rcP3Odd,rcP3Sale,rcP4Odd,rcP4Sale,rcP5Odd,rcP5Sale,rcP6Odd,rcP6Sale,rcP8Odd,rcP8Sale,rcPlansu,rcRank,rcSex,rcSpcba,rcSpcbu,rcTime,rcVtdusu,rundayth,track,weath,wgHr
0,18.0,0,원더풀원더,0043205,신형철,080122,서울,정상,104100,윤지중,070152,최봉주,0,12,연령오픈,2,1,일반,20210108,4.0,6.0,10.0,13.0,1000,국산,일반,국산마,일반,1,일반,8,92.8,11600,3.2,1200,0.7,13000,0.0,0,0.0,0,0.0,0,0.0,0,12,06,오픈,0,1,65.5,12,1,양호,맑음,450
5500000,4.0,0,일격필살,0042960,박을운,080339,서울,정상,010352,김창식,070174,강성오,0,12,연령오픈,2,2,일반,20210108,4.0,6.0,10.0,13.0,1000,국산,일반,국산마,일반,1,일반,2,92.8,11600,3.2,1200,0.7,13000,0.0,0,0.0,0,0.0,0,0.0,0,12,06,오픈,0,1,63.0,12,1,양호,맑음,484
8800000,0.0,0,아이언머스킷,0042934,조상범,080533,서울,정상,114008,홍종철,070144,배휴준,0,12,연령오픈,2,3,일반,20210108,4.0,6.0,10.0,13.0,1000,국산,일반,국산마,일반,1,일반,1,92.8,11600,3.2,1200,0.7,13000,0.0,0,0.0,0,0.0,0,0.0,0,12,06,오픈,0,1,62.2,12,1,양호,맑음,499
0,14.0,0,비바챔피언,0042822,김덕현,080577,서울,정상,065068,박세용,070111,임봉춘,0,12,연령오픈,2,4,일반,20210108,4.0,6.0,10.0,13.0,1000,국산,일반,국산마,일반,1,일반,6,92.8,11600,3.2,1200,0.7,13000,0.0,0,0.0,0,0.0,0,0.0,0,12,06,오픈,0,1,64.7,12,1,양호,맑음,475
1540000,13.0,0,레드마운틴,0042379,김동수,080529,서울,정상,118016,박순옥,070174,강성오,0,12,연령오픈,2,5,일반,20210108,4.0,6.0,10.0,13.0,1000,국산,일반,국산마,일반,1,일반,5,92.8,11600,3.2,1200,0.7,13000,0.0,0,0.0,0,0.0,0,0.0,0,12,06,오픈,0,1,64.5,12,1,양호,맑음,429
2420000,10.0,0,주말의시작,0042712,임다빈,080602,서울,정상,010538,김광영,070117,박윤규,0,12,연령오픈,2,6,일반,20210108,4.0,6.0,10.0,13.0,1000,국산,일반,국산마,일반,1,일반,4,92.8,11600,3.2,1200,0.7,13000,0.0,0,0.0,0,0.0,0,0.0,0,12,06,오픈,0,1,64.1,12,1,양호,맑음,471
0,23.0,0,금성강자,0042546,안효리,080500,서울,정상,065096,조창규,070161,신삼영,0,12,연령오픈,2,7,일반,20210108,4.0,6.0,10.0,13.0,1000,국산,일반,국산마,일반,1,일반,11,92.8,11600,3.2,1200,0.7,13000,0.0,0,0.0,0,0.0,0,0.0,0,12,06,오픈,0,1,66.3,12,1,양호,맑음,434
3740000,6.0,0,남산시대,0042947,빅투아르,080582,서울,정상,010516,이기선,070163,박병일,0,12,연령오픈,2,8,일반,20210108,4.0,6.0,10.0,13.0,1000,국산,일반,국산마,일반,1,일반,3,92.8,11600,3.2,1200,0.7,13000,0.0,0,0.0,0,0.0,0,0.0,0,12,06,오픈,0,1,63.4,12,1,양호,맑음,481
0,19.5,0,댓츠마이보이,0043319,박현우,080499,서울,정상,113038,(주)인펨,070181,이관호,0,12,연령오픈,2,9,일반,20210108,4.0,6.0,10.0,13.0,1000,국산,일반,국산마,일반,1,일반,9,92.8,11600,3.2,1200,0.7,13000,0.0,0,0.0,0,0.0,0,0.0,0,12,06,오픈,0,1,65.7,12,1,양호,맑음,474
0,22.0,0,베스트빅뱅,0042348,임기원,080487,서울,정상,113008,김태성,070164,박재우,0,12,연령오픈,2,10,일반,20210108,4.0,6.0,10.0,13.0,1000,국산,일반,국산마,일반,1,일반,10,92.8,11600,3.2,1200,0.7,13000,0.0,0,0.0,0,0.0,0,0.0,0,12,06,오픈,0,1,66.1,12,1,양호,맑음,493
